Data,Nº Nota Fiscal,Placa,Fornecedor,Km Inicial,Km Final,Km Total,Qtde. Litros,Média,Peso,Média Peso,Desconto,Valor Total,Centro de Custo,Plano de Contas
2/3/2025,,SOC-0G05,POEIRAO MEGA POSTO DE COMBUSTIVEIS LTDA,73807,75332,1525,"200,00","7,63","0,00","0,00","R$ 0,00 ","R$ 1.240,00 ",COMBUSTIVEL ,DESP. PRODUCAO   
2/3/2025,,PES-6F45,COMERCIO DE COMBUSTIVEIS ABREU E LIMA LTDA,1140732,1142403,1671,"200,00","8,35","0,00","0,00","R$ 0,00 ","R$ 1.258,00 ",COMBUSTIVEL ,DESP. PRODUCAO   
2/4/2025,,PES-6F45,POSTO IPIRANGAO LTDA,1142403,1142568,165,"464,50","0,36","0,00","0,00","R$ 0,00 ","R$ 2.921,71 ",COMBUSTIVEL ,DESP. PRODUCAO   
2/4/2025,,SOC-0G05,TORRES COMERCIO E DERIVADOS DE PETROLEO LTDA,75332,76004,672,"300,00","2,24","0,00","0,00","R$ 0,00 ","R$ 1.809,00 ",COMBUSTIVEL ,DESP. PRODUCAO   
2/5/2025,,SNO-6F99,POEIRAO MEGA POSTO DE COMBUSTIVEIS LTDA,124304,125841,1537,"200,00","7,68","0,00","0,00","R$ 0,00 ","R$ 1.240,00 ",COMBUSTIVEL ,DESP. PRODUCAO   
2/5/2025,,QIZ-3E10,AUTO POSTO ALVARES E DUTRA COMERCIO DE COMBUSTIVEIS LTDA,550186,551346,1160,"300,00","3,87","0,00","0,00","R$ 0,00 ","R$ 1.887,00 ",COMBUSTIVEL ,DESP. PRODUCAO   
2/6/2025,,SNO-6F99,GF COMERCIO DE DERIVADOS DE PETROLEO LTDA,125841,126263,422,"630,46","0,67","0,00","0,00","R$ 0,00 ","R$ 3.757,51 ",COMBUSTIVEL ,DESP. PRODUCAO   
2/6/2025,,PFB-2A13,AUTO POSTO ALVARES E DUTRA COMERCIO DE COMBUSTIVEIS LTDA,1052823,1054358,1535,"300,00","5,12","0,00","0,00","R$ 0,00 ","R$ 1.887,00 ",COMBUSTIVEL ,DESP. PRODUCAO   
2/6/2025,,QQN-8J78,POEIRAO MEGA POSTO DE COMBUSTIVEIS LTDA,590089,591447,1358,"200,00","6,79","0,00","0,00","R$ 0,00 ","R$ 1.230,00 ",COMBUSTIVEL ,DESP. PRODUCAO   
2/7/2025,,QQN-8J78,J. H . COMBUSTIVEIS LTDA,591447,591852,405,"533,01","0,76","0,00","0,00","R$ 0,00 ","R$ 3.230,01 ",COMBUSTIVEL ,DESP. PRODUCAO   
2/7/2025,,SOC-0G05,RPMP COMERCIO DE COMBUSTIVEIS LTDA,76004,76343,339,"438,09","0,77","0,00","0,00","R$ 0,00 ","R$ 2.611,03 ",COMBUSTIVEL ,DESP. PRODUCAO   
2/7/2025,,EGJ-4B71,PARADA CERTA COMERCIO DE COMBUSTIVEIS LTDA,651966,653051,1085,"200,00","5,43","0,00","0,00","R$ 0,00 ","R$ 1.252,00 ",COMBUSTIVEL ,DESP. PRODUCAO   
